"","district","year","accidents"
"160","Camins al Grau","2014",486
"161","Algirós","2014",242
"162","Benimaclet","2014",259
"163","Rascanya","2014",368
"164","Benicalap","2014",293
"165","Pobles del Nord","2014",52
"166","Pobles de l'Oest","2014",91
"167","Pobles del Sud","2014",326
"168","Unknown","2014",115
"169","València","2015",7629
"170","Ciutat Vella","2015",431
"171","l'Eixample","2015",603
"172","Extramurs","2015",687
"173","Campanar","2015",619
"174","la Saïdia","2015",481
"175","el Pla del Real","2015",855
"176","l'Olivereta","2015",324
"177","Patraix","2015",517
"178","Jesús","2015",344
"179","Quatre Carreres","2015",658
"180","Poblats Marítims","2015",419
"181","Camins al Grau","2015",391
"182","Algirós","2015",174
"183","Benimaclet","2015",93
"184","Rascanya","2015",407
"185","Benicalap","2015",212
"186","Pobles del Nord","2015",50
"187","Pobles de l'Oest","2015",66
"188","Pobles del Sud","2015",189
"189","Unknown","2015",109
"190","València","2016",8221
"191","Ciutat Vella","2016",506
"192","l'Eixample","2016",628
"193","Extramurs","2016",711
"194","Campanar","2016",695
"195","la Saïdia","2016",478
"196","el Pla del Real","2016",907
"197","l'Olivereta","2016",371
"198","Patraix","2016",570
"199","Jesús","2016",398
"200","Quatre Carreres","2016",685
"201","Poblats Marítims","2016",459
"202","Camins al Grau","2016",400
"203","Algirós","2016",182
"204","Benimaclet","2016",103
"205","Rascanya","2016",454
"206","Benicalap","2016",196
"207","Pobles del Nord","2016",57
"208","Pobles de l'Oest","2016",73
"209","Pobles del Sud","2016",202
"210","Unknown","2016",146
"211","València","2017",8356
"212","Ciutat Vella","2017",486
"213","l'Eixample","2017",617
"214","Extramurs","2017",766
"215","Campanar","2017",557
"216","la Saïdia","2017",444
"217","el Pla del Real","2017",426
"218","l'Olivereta","2017",565
"219","Patraix","2017",500
"220","Jesús","2017",310
"221","Quatre Carreres","2017",759
"222","Poblats Marítims","2017",581
"223","Camins al Grau","2017",468
"224","Algirós","2017",252
"225","Benimaclet","2017",309
"226","Rascanya","2017",406
"227","Benicalap","2017",343
"228","Pobles del Nord","2017",103
"229","Pobles de l'Oest","2017",75
"230","Pobles del Sud","2017",257
"231","Unknown","2017",132
